,Unnamed: 0,French,English
0,0,histoire,history
1,1,seulement,only
2,2,pensais,thought
3,3,demande,request
4,4,genre,kind
5,5,mois,month
6,6,frère,brother
7,7,laisser,let
8,8,car,because
9,9,laisse,leash
10,10,ville,city
11,11,chaque,each
12,12,parlé,speak
13,13,arrivé,come
14,14,bébé,baby
15,15,heures,hours
16,16,vont,will
17,17,pendant,while
18,22,compris,understood
19,24,étaient,were
20,25,attention,Warning
21,26,voici,here is
22,27,pourrais,could
23,28,affaire,case
24,30,type,type
25,31,leurs,their
26,32,donné,given
27,34,yeux,eyes
28,35,façon,way
29,37,premier,first
30,39,main,hand
31,40,première,first
32,42,pouvoir,power
33,43,tiens,here
34,44,matin,morning
35,45,tellement,so much
36,47,point,point
37,48,venu,came
38,53,demandé,request
39,54,chambre,bedroom
40,56,belle,beautiful
41,57,droit,law
42,58,aimerais,would like to
43,59,aujourd'hui,today
44,60,mari,husband
45,61,enfin,finally
46,62,espère,hope
47,63,eau,water
48,64,attendez,Wait
49,65,parti,left
50,66,nouvelle,new
51,68,dirait,would say
52,69,terre,Earth
53,70,compte,account
54,71,loin,far
55,73,croire,believe
56,74,chérie,sweetheart
57,78,jouer,to play
58,79,bureau,office
